Alba AlbaIulia AB
Arad Arad AR
Arges Pitesti AG
Bacau Bacau BC
Bihor Oradea BH
BistritaNasaud Bistrita BN
Botosani Botosani BT
Brasov Brasov BV
Braila Braila BR
Bucuresti Bucuresti B
Buzau Buzau BZ
Calarasi Calarasi CL
CarasSeverin Resita CS
Cluj ClujNapoca CJ
Constanta Constanta CT
Covasna SfantuGheorghe CV
Dolj Craiova DJ
Galati Galati GL
Giurgiu Giurgiu GR
Gorj TirguJiu GJ
Harghita MiercureaCiuc HR
Hunedoara Deva HD
Ialomita Slobozia IL
Iasi Iasi IS
Maramures BaiaMare MM
Mehedinti DrobetaTurnuSeverin MH
Mures TarguMures MR
Neamt PiatraNeamt NT
Olt Slatina OT
Prahova Ploiesti PH
SatuMare SatuMare SM
Salaj Zalau SJ
Sibiu Sibiu SB
Suceava Suceava SV
Teleorman Alexandria TR
Timis Timisoara TM
Tulcea Tulcea TL
Vaslui Vaslui VS
Valcea RamnicuValcea VL
Vrancea Focsani VN
